bag_name,node,scenario,d_estimated_m,d_depth_m,error_m,good_20cm
bag_P1_S1.2_01,yolo,S1.2,3.54,5.657437780675631,2.1174377806756306,False
bag_P1_S1.2_01,yolo,S1.2,3.5,5.761733926630115,2.2617339266301153,False
bag_P1_S1.2_01,yolo,S1.2,3.43,4.667865369771459,1.2378653697714586,False
bag_P1_S1.2_01,yolo,S1.2,3.41,4.743179240271807,1.3331792402718072,False
bag_P1_S1.2_01,yolo,S1.2,3.37,4.661733053775509,1.2917330537755092,False
bag_P1_S1.2_01,yolo,S1.2,3.36,4.786750640065229,1.426750640065229,False
bag_P1_S1.2_01,yolo,S1.2,3.33,4.99242632289263,1.66242632289263,False
bag_P1_S1.2_01,yolo,S1.2,3.31,4.8042235193629725,1.4942235193629725,False
bag_P1_S1.2_01,yolo,S1.2,3.27,1.8113695726623444,1.4586304273376556,False
bag_P1_S1.2_01,yolo,S1.2,3.97,1.8070587827200812,2.162941217279919,False
bag_P1_S1.2_01,yolo,S1.2,3.02,3.94068597747038,0.92068597747038,False
bag_P1_S1.2_01,yolo,S1.2,3.02,3.827662619689263,0.8076626196892631,False
bag_P1_S1.2_01,yolo,S1.2,3.27,4.7401663867381405,1.4701663867381405,False
bag_P1_S1.2_01,yolo,S1.2,3.34,2.365929635527355,0.9740703644726447,False
bag_P1_S1.2_01,yolo,S1.2,3.59,4.468713052902684,0.8787130529026843,False
bag_P1_S1.2_01,yolo,S1.2,3.66,3.2214816654201397,0.43851833457986045,False
bag_P1_S1.2_01,yolo,S1.2,3.97,4.965725878063258,0.9957258780632574,False
bag_P1_S1.2_01,yolo,S1.2,4.02,5.0455399584389875,1.025539958438988,False
bag_P1_S1.2_01,yolo,S1.2,4.12,5.257581959097452,1.137581959097452,False
bag_P1_S1.2_01,yolo,S1.2,4.1,5.257553642226981,1.157553642226981,False
bag_P1_S1.2_01,yolo,S1.2,4.1,5.632215927474604,1.5322159274746046,False
bag_P1_S1.2_01,yolo,S1.2,4.1,5.632215927474604,1.5322159274746046,False
bag_P1_S1.2_01,yolo,S1.2,4.1,6.0079018054828595,1.9079018054828598,False
bag_P1_S1.2_01,yolo,S1.2,4.1,6.0079018054828595,1.9079018054828598,False
bag_P1_S1.2_01,yolo,S1.2,4.1,6.184996044255479,2.0849960442554796,False
bag_P1_S1.2_01,yolo,S1.2,4.1,6.184996044255479,2.0849960442554796,False
bag_P1_S1.2_01,yolo,S1.2,4.1,5.632215927474604,1.5322159274746046,False
bag_P1_S1.2_01,yolo,S1.2,4.1,5.632215927474604,1.5322159274746046,False
bag_P1_S1.2_01,yolo,S1.2,3.99,5.530241654202356,1.5402416542023554,False
bag_P1_S1.2_01,yolo,S1.2,24.54,11.373873608148116,13.166126391851883,False
bag_P1_S1.2_01,yolo,S1.2,3.94,5.530197488190894,1.5901974881908942,False
bag_P1_S1.2_01,yolo,S1.2,24.52,11.394220862973153,13.125779137026846,False
bag_P1_S1.2_01,yolo,S1.2,3.82,3.283019047243195,0.5369809527568048,False
bag_P1_S1.2_01,yolo,S1.2,3.66,4.5656362347064094,0.9056362347064093,False
bag_P1_S1.2_01,yolo,S1.2,3.51,2.6200386521918473,0.8899613478081525,False
bag_P1_S1.2_01,yolo,S1.2,3.48,3.6847412331252745,0.20474123312527448,False
bag_P1_S1.2_01,yolo,S1.2,24.45,11.56054130557643,12.889458694423569,False
bag_P1_S1.2_01,yolo,S1.2,3.43,4.541634686091603,1.111634686091603,False
bag_P1_S1.2_01,yolo,S1.2,3.44,4.549508147150171,1.1095081471501707,False
bag_P1_S1.2_01,yolo,S1.2,3.4,4.975502641297959,1.5755026412979594,False
bag_P1_S1.2_01,yolo,S1.2,3.38,4.938146743917155,1.5581467439171552,False
bag_P1_S1.2_01,yolo,S1.2,3.15,2.217302516209482,0.932697483790518,False
bag_P1_S1.2_01,yolo,S1.2,3.06,4.580462170266857,1.5204621702668573,False
bag_P1_S1.2_01,yolo,S1.2,2.91,2.199010196115155,0.710989803884845,False
bag_P1_S1.2_01,yolo,S1.2,2.85,4.335082351730309,1.4850823517303087,False
